Disease,Description
Drug Reaction,"A drug reaction is an immunologic or non-immunologic response to a medication that results in unintended physiological changes. These reactions occur when the body's immune system identifies a drug as a harmful invader or when the chemical properties of the drug interfere with cellular processes. Symptoms often manifest as cutaneous eruptions like hives or a morbilliform rash, systemic issues such as drug-induced fever, or internal complications involving the liver and kidneys. In extreme cases, the reaction triggers a massive release of histamine leading to systemic vasodilation and airway constriction known as anaphylaxis."
Malaria,"Malaria is a parasitic infection caused by Plasmodium protozoa which are introduced into the human bloodstream through the saliva of an infected female Anopheles mosquito. Once inside the host, the parasites migrate to the liver to mature and multiply before invading red blood cells. The synchronized rupture of these blood cells leads to cyclical paroxysms of high fever, rigors, and profuse sweating. Chronic or severe cases involve the sequestration of infected cells in vital organs, potentially resulting in profound anemia, metabolic acidosis, and cerebral malaria characterized by altered consciousness."
Allergy,"An allergy is a hypersensitivity disorder of the immune system where the body reacts excessively to typically inert environmental substances known as allergens. Upon exposure to triggers like pollen, dander, or specific proteins, the immune system produces IgE antibodies that signal mast cells to release potent inflammatory mediators like histamine. This physiological cascade results in localized inflammation of the mucous membranes, leading to rhinorrhea, sneezing, pruritus, and edema. Systemic responses can involve gastrointestinal distress or respiratory constriction depending on the route of entry of the allergen."
Hypothyroidism,"Hypothyroidism is an endocrine disorder characterized by an underactive thyroid gland that fails to produce sufficient quantities of thyroxine (T4) and triiodothyronine (T3). Because these hormones are the primary regulators of cellular metabolism, their deficiency leads to a systemic slowing of bodily functions. Patients experience a decrease in basal metabolic rate, resulting in lethargy, bradycardia, weight gain despite no change in diet, and impaired thermoregulation. The skin often becomes thickened and dry, and cognitive processes may slow, leading to memory impairment and a flattened affect."
Psoriasis,"Psoriasis is a chronic, immune-mediated inflammatory disease that significantly accelerates the life cycle of skin cells. In a healthy body, skin cells take weeks to rise to the surface, but in psoriasis, T-cells trigger a process that forces this to happen in just a few days. This rapid turnover results in the accumulation of live skin cells on the surface, forming thick, erythematous plaques covered with silvery micaceous scales. These lesions are typically found on the elbows, knees, and scalp, and are often accompanied by intense itching, stinging, and physical discomfort due to skin cracking."
GERD,"Gastroesophageal reflux disease (GERD) is a chronic digestive condition that occurs when the lower esophageal sphincter (LES) becomes weak or relaxes inappropriately, allowing gastric acid and bile to reflux into the esophagus. Unlike the stomach, the esophageal lining lacks a protective mucus layer against low pH levels, leading to chemical irritation and inflammation. This results in pyrosis (heartburn), acid regurgitation, and a sensation of a lump in the throat. Over time, the repeated acid exposure can cause structural changes to the esophageal tissue, known as metaplasia, or the formation of painful strictures."
Chronic cholestasis,"Chronic cholestasis is a pathological state characterized by the prolonged impairment of bile flow from the hepatocytes to the duodenum. This may result from primary biliary damage or mechanical obstruction of the bile ducts. When bile—which contains bilirubin and bile salts—cannot reach the digestive tract, it backs up into the systemic circulation. This systemic accumulation causes intense pruritus (itching) due to salt deposition in the skin and jaundice. Because bile is essential for the digestion of lipids, the condition also leads to malabsorption of fat-soluble vitamins and the presence of excess fat in the stool."
hepatitis A,"Hepatitis A is an acute viral infection of the liver caused by the HAV virus, typically transmitted via the fecal-oral route through contaminated environmental sources. The virus replicates within the liver cells, triggering an immune response that causes localized inflammation and cellular injury. Symptoms usually include a sudden onset of nausea, malaise, and abdominal discomfort in the upper right quadrant. As the liver’s ability to process metabolic waste decreases, bilirubin accumulates in the tissues, leading to dark urine and the yellowing of the skin and sclera. Unlike other forms of hepatitis, this virus does not cause chronic infection."
Osteoarthristis,"Osteoarthritis is a degenerative joint disease characterized by the progressive mechanical breakdown of hyaline cartilage, which serves as a protective cushion between bones. As the cartilage thins and wears away, the underlying bone tissue is exposed, leading to friction and micro-fractures during movement. The body’s attempt to repair this damage often results in the formation of osteophytes, or bone spurs, and the thickening of the joint capsule. This process causes deep aching pain, crepitus (a grating sound), and significant morning stiffness that typically improves with activity but worsens after prolonged use."
(vertigo) Paroymsal Positional Vertigo,"Benign Paroxysmal Positional Vertigo (BPPV) is a mechanical vestibular disorder of the inner ear. It occurs when small crystals of calcium carbonate, known as otoconia, become dislodged from the utricle and migrate into one of the fluid-filled semicircular canals. When the head changes position, these crystals move through the fluid and send false signals to the brain regarding the body's orientation in space. This conflict between sensory inputs creates a sudden sensation of intense spinning or tilting, often accompanied by nystagmus (involuntary eye movement) and nausea, typically lasting for less than one minute per episode."
